Q101	Q102	HAGE	Q103	Q106	Q107	Q108	Q109	Q201	Q202	Q203	Q204	Q205	Q205_98_OTHER	Q205B	Q205C	Q206	Q207	Q207_98_OTHER	Q207B	Q207C	Q208	Q209	Q209A	HGROUP	Q301_1	Q301B	Q302_1	Q302_2	Q302_3	Q302_4	Q302_5	Q302_6	Q302_7	Q302_8	Q302_9	Q302_10	Q302_11	Q303	Q304	Q305	Q305DK_99	HQ305	Q401_3	Q401_2	Q401_1	Q401DK_98	Q402	Q403N_1	Q403N_2	Q403N_3	Q403N_4	Q403N_5	Q403N_6	Q403N_7	Q404	Q405	Q406	Q406A	Q407	Q601	Q602_1	Q602_2	Q602_3	Q602_4	Q602_5	Q602_6	Q602_7	Q602_8	Q602_9	Q602_10	Q602_11	Q602_12	Q602_13	Q1106B1	Q1106B2_1	Q1106B2_2	Q1106B2_3	Q1106B2_4	Q1106B2_5	Q1106B2_6	Q1106B2_7	Q1106B2_8	HQ700_1	HQ700_2	HQ700_3	HQ700_4	HQ700_5	HQ700_6	HQ700_7	HQ700_8	HXNEW1_10	HXNEW1_20	HXNEW1_30	HXNEW1_40	HXNEW2_10	HXNEW2_20	HXNEW2_30	HXNEW2_40	HXNEWORDER_1	HXNEWORDER_2	Q701X1A	Q701X1	Q703X1	Q704X1	Q701X2A	Q701X2	Q703X2	Q704X2	Q701X3A	Q701X3	Q703X3	Q704X3	Q701X4A	Q701X4	Q703X4	Q704X4	Q701X5	Q703X5	Q704X5	Q701X6A	Q701X6	Q703X6	Q704X6	Q701X7A	Q701X7	Q703X7	Q704X7	Q701X8	Q703X8	Q704X8	HQ700ORDER_1	HQ700ORDER_2	Q1101	Q1101_98_OTHER	Q1102	Q1103	Q1104	Q1105	Q1106	Q1107	Q1101F	Q1102F	Q1103F	Q1104F	Q1105F	Q1106F	HXADITIONALTIME_1	HXADITIONALTIME_2	HXADITIONALTIME_3	HXADITIONALTIME_4	HXADITIONALTIME_5	HXADITIONALTIME_6	HXADITIONALTIME_7	HXADITIONALTIME_8	HFROMTIME_1	HTOTIME_1	HTOTIME_2	HTOTIME_3	HTOTIME_4	HTOTIME_5	HTOTIME_6	HTOTIME_7	HTOTIME_8	LOIM	HXNEW1_5	HXNEW2_5	HXNEW1_50	HXNEW1_60	HXNEW2_50	HXNEW2_60	BIDS	ORIGSVYLANG	CENSUSRGN	ID
2	1981	3	1	4	2	2	3	7	 	2	 	2	 	1	78	2	 	 	 	 	 	 	 	4:Family member in NH currently long term	1	3	1	0	0	0	0	1	0	0	0	0	0	4	2	20	0	 	 	3	 	0	2	 	 	 	 	 	 	 	4	5	3	 	1	40	5	5	8	6	5	5	5	4	3	5	5	5	5	5	 	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	60	50	 	 	 	 	 	 	 	 	2	2	1	2	 	 	 	 	2	3	2	 	 	 	 	 	 	 	 	 	 	 	5	3	 	 	 	 	 	 	 	 	1	1	2	4	1	5	 	 	50	 	60	 	 	 	30	 	 	80	 	90	 	 	 	17.74	0	0	0	1	1	0	1	0	7	813
2	1967	4	1	4	2	1	1	7	 	2	 	2	 	2	99	2	 	 	 	 	 	 	 	4:Family member in NH currently long term	1	4	1	0	0	1	0	0	0	0	0	0	0	2	2	30	0	 	5	 	 	0	2	 	 	 	 	 	 	 	1	3	2	 	2	60	10	10	10	10	10	10	9	7	7	5	10	9	8	2	 	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	60	5	2	2	1	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	2	4	 	 	 	1	7	 	 	 	 	 	 	 	 	5	5	2	14	5	2	60	 	 	 	 	 	5	 	30	90	 	 	 	 	 	35	 	26.77	0	1	0	1	0	0	1	0	6	814
2	1982	3	1	6	1	2	6	7	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	5:Respondent in NH within last 6 mo short term	4	 	1	0	0	1	0	1	0	1	1	1	0	7	1	10	0	 	1	1	1	0	1	1	1	1	1	1	0	0	4	4	1	1	1	80	5	8	9	7	9	7	10	8	6	6	8	9	7	5	 	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	50	60	 	 	 	 	 	 	 	 	1	1	1	5	 	 	 	 	1	1	5	 	 	 	 	 	 	 	 	 	 	 	5	3	2	 	2	2	10	1	4	6	 	 	 	 	 	 	 	 	60	 	50	 	 	 	30	 	 	90	 	80	 	 	 	8.33	0	0	1	0	0	1	1	0	7	815
2	1981	3	1	5	2	1	3	7	 	2	 	2	 	2	76	1	 	 	 	 	 	 	 	2:Family member in NH currently short term	5	4	1	1	0	1	0	0	0	0	0	0	0	6	2	20	0	 	 	4	2	0	2	 	 	 	 	 	 	 	1	1	1	4	1	50	8	7	6	8	6	7	5	5	6	8	8	8	7	3	 	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	5	20	1	2	1	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	1	5	 	 	 	7	1	 	 	 	 	 	 	 	 	1	2	3	9	1	5	20	 	 	 	 	 	5	 	30	50	 	 	 	 	 	35	 	9.1	1	0	0	0	0	0	1	0	2	816
1	1951	6	1	5	2	1	5	7	 	2	 	1	 	1	94	2	 	 	 	 	 	 	 	4:Family member in NH currently long term	4	5	0	0	0	0	0	1	0	0	0	0	1	6	2	10	0	 	9	7	 	0	2	 	 	 	 	 	 	 	3	3	1	2	2	70	3	3	2	6	4	5	5	4	4	5	7	6	6	2	 	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	60	20	 	 	 	 	 	 	 	 	2	1	3	4	2	2	3	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	4	 	 	 	 	 	 	 	 	1	2	0	 	6	5	 	 	60	20	 	 	 	 	30	 	 	90	50	 	 	 	 	18.3	0	0	0	1	0	0	1	0	1	817
2	1994	1	1	6	2	2	1	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1:Respondent in NH currently short term	5	 	0	0	0	0	1	0	0	0	0	0	0	4	2	30	0	 	1	1	2	0	2	 	 	 	 	 	 	 	5	1	2	 	1	100	7	10	8	10	9	6	10	9	6	8	9	9	8	6	 	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	20	60	 	 	 	 	1	2	1	4	 	 	 	 	1	2	1	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	4	4	 	1	0	 	1	5	1	 	 	 	 	 	 	 	20	 	60	 	 	 	 	30	 	50	 	90	 	 	 	 	7.5	0	0	0	0	0	1	1	0	5	818
2	1974	3	1	3	2	1	5	7	 	2	 	98	Mother in law	2	82	2	 	 	 	 	 	 	 	4:Family member in NH currently long term	2	3	0	0	0	1	0	1	0	0	0	0	0	1	2	30	1	1	2	 	 	0	2	 	 	 	 	 	 	 	3	3	1	2	2	50	6	8	4	8	8	5	8	7	8	7	6	6	5	5	 	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	40	60	 	 	 	 	 	 	 	 	 	 	 	 	2	2	3	3	1	1	3	 	 	 	 	 	 	 	 	 	 	 	4	5	 	 	 	 	 	 	 	 	1	3	1	2	1	5	 	 	 	40	60	 	 	 	30	 	 	 	70	90	 	 	 	10.15	0	0	0	0	0	1	1	0	7	819
2	1996	1	1	3	2	6	1	7	 	2	 	98	Grand friend	2	70	1	 	 	 	 	 	 	 	2:Family member in NH currently short term	1	5	0	0	0	1	0	0	0	0	0	0	0	5	2	15	0	 	 	6	 	0	2	 	 	 	 	 	 	 	1	4	3	 	1	50	6	5	7	8	7	7	7	3	7	7	5	4	7	8	 	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	10	20	 	 	 	 	 	 	 	 	 	 	 	 	2	1	1	4	2	1	4	 	 	 	 	 	 	 	 	 	 	 	4	5	 	 	 	 	 	 	 	 	6	2	1	2	1	3	 	 	 	10	20	 	 	 	30	 	 	 	40	50	 	 	 	7.47	0	0	0	0	0	0	1	0	8	820
1	1983	2	1	6	2	1	4	7	 	2	 	2	 	1	95	2	 	 	 	 	 	 	 	4:Family member in NH currently long term	3	3	0	0	0	1	0	1	1	0	0	1	0	5	2	75	0	 	1	8	1	0	2	 	 	 	 	 	 	 	2	4	2	 	2	85	6	8	7	9	6	8	10	9	9	8	7	9	8	2	 	0	1	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	60	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	1	3	 	 	 	 	2	2	5	6	8	 	 	 	 	 	 	 	 	2	1	0	 	1	4	 	 	 	 	 	60	 	5	30	 	 	 	 	 	90	 	35	5.98	0	1	0	1	0	0	1	0	7	821
2	1977	3	1	6	2	1	5	7	 	2	 	1	 	1	75	2	 	 	 	 	 	 	 	4:Family member in NH currently long term	4	4	1	0	0	0	0	1	1	1	0	0	0	5	2	20	0	 	 	2	2	0	1	0	0	1	0	0	0	0	2	2	1	4	1	50	6	7	7	8	6	5	7	6	5	6	8	8	7	2	 	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	40	30	 	 	 	 	2	1	1	4	2	1	1	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	2	 	 	 	 	 	 	 	 	1	2	3	7	1	5	 	30	40	 	 	 	 	 	30	 	60	70	 	 	 	 	 	15.7	0	0	0	0	0	0	1	0	2	822
2	1961	5	1	9	2	1	9	7	 	2	 	99	 	 	 	 	98	father in law	1	90	1	1	1	6A:hgroup=6 and died in NH	2	3	1	0	0	0	0	0	0	0	0	0	1	2	4	30	 	3	 	4	 	0	2	 	 	 	 	 	 	 	2	5	2	 	2	40	3	7	6	7	5	3	4	5	4	7	5	5	3	5	 	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	40	40	 	 	 	 	2	1	1	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	1	4	8	2	 	 	 	 	 	 	 	 	1	1	0	 	1	5	 	40	 	 	 	 	 	40	30	 	70	 	 	 	 	 	70	8.47	0	0	0	0	0	0	1	0	5	823
2	1972	4	1	6	2	1	5	7	 	2	 	1	 	1	85	1	 	 	 	 	 	 	 	2:Family member in NH currently short term	5	5	1	0	1	0	0	1	1	1	0	0	0	2	2	30	1	1	 	5	 	0	2	 	 	 	 	 	 	 	1	3	2	 	1	90	9	7	9	10	9	8	9	9	9	9	8	7	10	5	 	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	50	40	2	2	1	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	2	5	 	 	 	1	7	 	 	 	 	 	 	 	 	1	2	0	 	9	4	50	 	 	 	 	 	40	 	30	80	 	 	 	 	 	70	 	11.87	0	0	1	0	0	0	1	0	4	824
2	1960	5	1	6	1	1	3	7	 	2	 	1	 	2	88	2	 	 	 	 	 	 	 	4:Family member in NH currently long term	5	5	0	0	1	0	0	0	0	0	1	0	1	6	2	10	0	 	2	4	2	0	1	0	0	0	0	1	0	0	2	3	2	 	2	45	6	8	2	8	3	2	7	7	2	8	2	8	7	6	 	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	5	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	1	5	2	2	1	4	 	 	 	 	 	 	 	5	6	 	 	 	 	 	 	 	 	1	2	0	 	9	2	 	 	 	 	5	5	 	 	30	 	 	 	 	35	35	 	 	12.25	1	1	0	0	0	0	1	0	7	825
2	1974	3	1	5	1	5	3	7	 	2	 	98	Aunty	2	63	2	 	 	 	 	 	 	 	4:Family member in NH currently long term	2	4	0	1	0	1	0	0	1	0	0	0	0	4	2	25	0	 	 	4	 	0	2	 	 	 	 	 	 	 	5	4	2	 	2	70	3	5	4	4	4	5	4	6	4	4	5	5	6	2	 	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	10	60	 	 	 	 	 	 	 	 	1	1	1	3	 	 	 	 	 	 	 	 	 	 	 	2	 	2	3	 	 	 	3	7	 	 	 	 	 	 	 	 	1	5	3	12	1	4	 	 	10	 	 	 	60	 	30	 	 	40	 	 	 	90	 	11.33	0	0	0	0	0	1	1	0	9	826
2	1965	4	1	8	2	3	9	7	 	2	 	98	mother in law	2	85	2	 	 	 	 	 	 	 	4:Family member in NH currently long term	3	3	1	0	0	1	0	1	0	0	0	0	0	1	2	300	0	 	2	6	0	0	1	1	1	0	1	0	0	0	1	1	1	2	2	50	5	4	5	5	5	5	5	5	5	5	5	5	5	5	 	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	10	50	 	 	 	 	1	1	1	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	4	8	2	 	 	 	 	 	 	 	 	1	2	0	 	9	4	 	50	 	 	 	 	 	10	30	 	80	 	 	 	 	 	40	10.55	0	0	0	0	1	0	1	0	9	827
2	1975	3	1	4	2	1	2	7	 	2	 	2	 	2	93	2	 	 	 	 	 	 	 	4:Family member in NH currently long term	4	4	1	0	0	1	0	0	0	0	0	1	0	2	2	30	1	1	3	0	0	0	2	 	 	 	 	 	 	 	4	3	1	2	2	60	5	8	6	8	6	6	8	6	6	7	7	8	6	2	 	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	5	2	2	1	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	1	1	3	 	 	 	 	 	 	 	1	6	 	 	 	 	 	 	 	 	2	3	0	 	1	3	5	 	 	 	 	5	 	 	30	35	 	 	 	 	35	 	 	19.42	1	1	0	0	0	0	1	0	3	828
2	1980	3	1	4	2	2	2	7	 	2	 	98	Great Aunt	2	70	2	 	 	 	 	 	 	 	4:Family member in NH currently long term	1	3	0	0	0	0	0	0	0	0	0	1	0	2	2	1440	0	 	8	 	 	0	2	 	 	 	 	 	 	 	4	4	2	 	1	25	8	8	6	9	7	9	6	6	9	5	9	9	6	2	 	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	50	40	2	1	1	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	1	4	 	 	 	 	 	 	 	6	1	 	 	 	 	 	 	 	 	6	3	2	10	1	3	40	 	 	 	 	50	 	 	30	70	 	 	 	 	80	 	 	14.34	0	0	1	0	0	0	1	0	9	829
2	1959	5	1	5	2	1	4	7	 	2	 	1	 	2	88	2	 	 	 	 	 	 	 	4:Family member in NH currently long term	5	5	0	0	0	0	0	1	0	0	0	0	0	5	2	15	0	 	 	9	2	0	1	0	0	1	0	0	0	0	2	2	1	1	1	90	8	9	9	8	9	9	9	9	8	10	9	8	8	6	 	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	20	60	 	 	 	 	 	 	 	 	 	 	 	 	2	2	3	1	 	 	 	2	1	2	4	 	 	 	 	 	 	 	6	4	 	 	 	 	 	 	 	 	1	2	0	 	3	5	 	 	 	60	 	20	 	 	30	 	 	 	90	 	50	 	 	14.26	0	0	0	0	0	1	1	0	2	830
1	1983	2	1	8	2	1	4	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1:Respondent in NH currently short term	5	 	0	0	0	1	0	0	0	1	0	0	0	4	2	30	0	 	1	2	2	0	1	1	0	0	0	0	0	0	5	5	1	3	1	95	9	8	9	10	10	8	8	9	8	9	9	10	9	6	 	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	60	30	 	 	 	 	1	1	1	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	5	8	2	1	 	2	1	17	1	5	4	 	 	 	 	 	 	 	30	 	 	 	 	 	60	30	 	60	 	 	 	 	 	90	6.47	0	0	0	1	0	0	1	0	6	831
2	1973	3	1	6	2	1	9	7	 	2	 	1	 	2	70	2	 	 	 	 	 	 	 	4:Family member in NH currently long term	1	2	1	0	0	0	0	0	0	0	0	0	0	1	2	1200	0	 	4	 	 	0	2	 	 	 	 	 	 	 	1	1	1	5	2	50	5	5	5	5	5	4	5	5	5	5	5	5	4	8	 	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	5	30	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	2	4	 	 	 	 	2	 	1	5	 	 	 	7	5	 	 	 	 	 	 	 	 	1	2	0	 	1	5	 	 	 	 	30	 	5	 	30	 	 	 	 	60	 	35	 	7.25	1	0	0	0	0	0	1	0	8	832
1	1948	6	1	8	2	1	4	7	 	2	 	1	 	2	97	2	 	 	 	 	 	 	 	4:Family member in NH currently long term	3	4	1	0	0	0	0	1	1	0	0	0	0	3	2	75	0	 	7	4	3	0	2	 	 	 	 	 	 	 	2	4	2	 	1	80	7	9	7	9	9	9	8	9	9	10	7	9	5	2	 	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	10	30	 	 	 	 	1	1	3	1	 	 	 	 	 	 	 	 	1	3	1	 	 	 	 	 	 	 	 	 	 	 	2	5	 	 	 	 	 	 	 	 	1	2	0	 	6	4	 	10	 	 	30	 	 	 	30	 	40	 	 	60	 	 	 	14.68	0	0	0	0	0	0	1	0	3	833
2	1958	5	1	8	2	1	4	7	 	2	 	1	 	2	97	2	 	 	 	 	 	 	 	4:Family member in NH currently long term	2	3	0	1	0	0	0	0	0	0	0	0	0	3	2	110	0	 	 	2	 	0	1	0	0	1	0	0	0	0	2	2	1	2	2	60	7	7	7	8	7	7	6	8	8	7	8	7	8	8	 	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	20	5	 	 	 	 	 	 	 	 	2	1	1	5	 	 	 	 	 	 	 	 	 	 	 	2	 	1	4	 	 	 	7	3	 	 	 	 	 	 	 	 	1	3	0	 	1	4	 	 	5	 	 	 	20	 	30	 	 	35	 	 	 	50	 	9.31	0	1	0	0	0	0	1	0	5	834
1	1977	3	1	8	2	3	6	7	 	2	 	1	 	1	84	2	 	 	 	 	 	 	 	4:Family member in NH currently long term	5	4	0	0	0	0	0	1	1	0	0	1	0	5	2	15	0	 	2	0	0	0	1	0	0	0	0	1	0	0	3	2	1	2	2	75	8	6	6	8	4	8	6	8	8	9	7	7	8	5	 	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	20	60	 	 	 	 	 	 	 	 	2	1	2	3	2	1	2	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	4	 	 	 	 	 	 	 	 	1	2	2	3	1	4	 	 	20	60	 	 	 	 	30	 	 	50	90	 	 	 	 	9.89	0	0	0	0	0	1	1	0	1	835
2	1984	2	1	3	2	1	2	7	 	2	 	2	 	2	84	2	 	 	 	 	 	 	 	4:Family member in NH currently long term	2	3	1	0	0	0	0	0	0	0	0	0	0	1	2	480	0	 	4	 	 	0	2	 	 	 	 	 	 	 	2	2	1	1	2	40	5	7	7	6	8	7	6	4	7	7	7	7	7	5	 	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	60	20	2	2	1	3	2	1	1	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	1	 	 	 	 	 	 	 	 	1	2	2	6	9	4	20	60	 	 	 	 	 	 	30	50	90	 	 	 	 	 	 	12.19	0	0	0	1	0	0	1	0	3	836
2	1987	2	1	5	2	1	3	7	 	2	 	2	 	2	92	2	 	 	 	 	 	 	 	4:Family member in NH currently long term	1	4	1	0	0	0	0	0	0	0	0	0	0	2	2	480	0	 	1	10	 	0	2	 	 	 	 	 	 	 	3	3	1	2	1	80	8	6	8	7	7	8	8	8	8	9	6	8	8	2	 	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	60	50	 	 	 	 	1	1	1	3	1	2	2	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	3	 	 	 	 	 	 	 	 	1	2	3	1	9	5	 	60	50	 	 	 	 	 	30	 	90	80	 	 	 	 	 	15.97	0	0	0	1	1	0	1	0	4	837
1	1978	3	1	9	2	1	4	7	 	1	2	 	 	 	 	 	 	 	 	 	 	 	 	7:Respondent in NH within last 6 mo long term	5	 	0	1	1	0	0	1	1	0	0	1	0	1	2	3	0	 	 	 	 	1	1	1	0	0	0	0	1	0	5	5	1	4	2	90	10	10	10	10	10	10	10	10	10	10	10	10	10	5	 	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	60	50	1	2	1	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	2	1	5	 	 	 	7	1	3	 	4	2	12	1	5	4	 	 	 	 	 	 	50	 	 	 	 	 	60	 	30	80	 	 	 	 	 	90	 	26.63	0	0	0	1	1	0	1	0	2	838
1	1974	3	1	3	2	1	1	7	 	2	 	98	Great uncle	1	92	2	 	 	 	 	 	 	 	4:Family member in NH currently long term	1	3	1	0	0	1	0	0	0	0	0	0	0	4	2	30	0	 	 	9	 	0	2	 	 	 	 	 	 	 	2	3	2	 	1	75	7	8	7	8	7	7	7	7	7	7	7	8	7	6	 	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	30	50	 	 	 	 	 	 	 	 	 	 	 	 	2	2	2	4	 	 	 	2	1	2	3	 	 	 	 	 	 	 	4	6	 	 	 	 	 	 	 	 	1	2	2	11	3	3	 	 	 	30	 	50	 	 	30	 	 	 	60	 	80	 	 	16.38	0	0	0	0	1	0	1	0	6	839
2	1959	5	1	6	2	1	9	7	 	2	 	98	Mother in law	2	91	2	 	 	 	 	 	 	 	4:Family member in NH currently long term	3	5	0	0	0	0	0	0	0	0	0	0	1	5	2	10	0	 	 	10	 	0	2	 	 	 	 	 	 	 	3	3	2	 	1	70	5	8	5	10	5	5	9	9	5	10	9	9	5	6	 	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	60	20	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	3	1	 	 	 	 	 	 	 	 	2	3	1	8	5	 	 	 	 	 	 	 	 	6	2	0	 	1	5	 	 	 	 	20	 	 	60	30	 	 	 	 	50	 	 	90	9.51	0	0	0	1	0	0	1	0	2	840
2	1982	3	1	8	2	1	3	7	 	2	 	2	 	2	94	2	 	 	 	 	 	 	 	4:Family member in NH currently long term	3	4	1	0	0	0	0	1	1	0	0	0	0	4	2	15	0	 	 	10	 	0	2	 	 	 	 	 	 	 	2	3	2	 	1	65	6	6	6	7	7	6	5	6	6	5	5	4	7	2	 	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	60	 	 	 	 	2	1	1	5	 	 	 	 	 	 	 	 	2	1	3	 	 	 	 	 	 	 	 	 	 	 	2	5	 	 	 	 	 	 	 	 	2	1	1	5	1	4	 	5	 	 	60	 	 	 	30	 	35	 	 	90	 	 	 	36.44	1	0	0	0	0	1	1	0	1	841
2	1994	1	1	4	1	4	1	7	 	2	 	98	Uncle and aunt	1	48	2	 	 	 	 	 	 	 	4:Family member in NH currently long term	2	4	0	0	0	0	0	1	0	0	0	0	0	6	2	15	0	 	1	4	8	0	2	 	 	 	 	 	 	 	4	4	2	 	1	15	5	2	3	0	4	2	1	0	0	0	1	2	3	5	 	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	60	60	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	1	5	 	 	 	 	2	 	1	5	 	 	 	7	5	 	 	 	 	 	 	 	 	1	2	3	3	9	4	 	 	 	 	60	 	60	 	30	 	 	 	 	90	 	90	 	11.67	0	0	0	1	0	1	1	0	7	842
2	1955	5	1	5	2	1	3	7	 	2	 	1	 	1	88	2	 	 	 	 	 	 	 	4:Family member in NH currently long term	1	2	1	1	0	0	0	0	0	0	0	0	0	1	4	30	 	3	1	2	0	0	2	 	 	 	 	 	 	 	2	3	2	 	2	50	7	7	7	7	6	7	8	6	7	7	7	8	8	2	 	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	60	50	 	 	 	 	1	1	2	4	 	 	 	 	1	2	2	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	4	 	 	 	 	 	 	 	 	2	1	0	 	1	5	 	60	 	50	 	 	 	 	30	 	90	 	80	 	 	 	 	34.43	0	0	0	1	1	0	1	0	6	843
2	1958	5	1	4	2	1	9	7	 	2	 	1	 	2	82	2	 	 	 	 	 	 	 	4:Family member in NH currently long term	1	3	1	0	0	0	0	0	0	0	0	0	0	2	2	300	0	 	7	 	 	0	2	 	 	 	 	 	 	 	4	4	2	 	1	40	6	7	6	8	7	7	6	5	6	6	6	7	7	2	 	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	30	60	 	 	 	 	 	 	 	 	2	1	1	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	1	1	8	3	 	 	 	 	 	 	 	 	1	2	0	 	7	3	 	 	60	 	 	 	 	30	30	 	 	90	 	 	 	 	60	13.75	0	0	0	0	0	1	1	0	4	844
2	1965	4	1	4	2	1	4	7	 	2	 	1	 	2	79	2	 	 	 	 	 	 	 	4:Family member in NH currently long term	2	3	0	0	0	1	0	1	0	0	0	0	0	2	2	550	0	 	2	6	1	0	2	 	 	 	 	 	 	 	3	3	1	2	1	75	6	7	8	7	7	7	7	6	6	6	7	9	8	2	 	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	50	50	 	 	 	 	 	 	 	 	 	 	 	 	1	1	1	3	 	 	 	 	 	 	 	 	 	 	 	1	1	3	4	8	 	 	 	 	 	 	 	 	1	2	0	 	5	4	 	 	 	50	 	 	 	50	30	 	 	 	80	 	 	 	80	11.93	0	0	1	0	1	0	1	0	2	845
2	1955	5	1	4	2	1	1	7	 	2	 	1	 	2	83	2	 	 	 	 	 	 	 	4:Family member in NH currently long term	5	4	0	0	0	0	0	1	0	0	0	0	1	5	2	45	0	 	 	6	 	0	2	 	 	 	 	 	 	 	3	2	1	2	1	90	9	9	8	9	9	9	9	9	9	10	9	9	9	2	 	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	20	40	 	 	 	 	 	 	 	 	2	1	3	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	2	4	3	8	 	 	 	 	 	 	 	 	1	2	1	17	9	5	 	 	20	 	 	 	 	40	30	 	 	50	 	 	 	 	70	14.63	0	0	0	0	0	0	1	0	5	846
2	1972	4	1	8	1	1	4	7	 	2	 	1	 	2	85	2	 	 	 	 	 	 	 	4:Family member in NH currently long term	4	5	0	0	0	0	0	1	0	0	0	0	0	4	2	15	0	 	3	 	 	0	2	 	 	 	 	 	 	 	3	2	1	2	2	55	9	9	9	10	5	8	8	8	8	9	9	9	7	2	 	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	30	50	2	2	1	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	2	1	4	 	 	 	 	 	 	 	6	1	 	 	 	 	 	 	 	 	3	1	1	10	3	5	50	 	 	 	 	30	 	 	30	80	 	 	 	 	60	 	 	21.2	0	0	0	0	1	0	1	0	1	847
